;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;جملة;ماجستير;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;جملة;جملة;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;التربية الفنية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;التربية الفنية;ماجستير;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;التربية الفنية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;التربية الفنية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;التربية الفنية;جملة;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;جملة;ماجستير;22;28;50;0;0;0;22;28;50;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
